epoch,lr,train_loss,train_acc,real_val_loss,real_val_acc,epoch_time_s
1,0.0001,1.553096013409751,0.5233022186147186,0.8957815637191137,0.7567708333333333,282.31084855110385
2,0.0001,0.7545453574492301,0.7879802489177489,0.7056617945432663,0.8010416666666667,63.97508248803206
3,0.0001,0.44864603877067566,0.8898809523809523,0.643760637442271,0.8109375,64.3236377260182
4,1e-05,0.30158631493905924,0.9286052489177489,0.6233250310023626,0.8239583333333333,63.801316424040124
5,1e-05,0.24697006756673642,0.942877435064935,0.6150760928789775,0.8229166666666666,63.77195213199593
6,1e-05,0.23759651466300993,0.9488974567099567,0.6127088864644369,0.8255208333333334,63.885330588091165
7,1e-05,0.22677120343818294,0.9498106060606061,0.6176991711060206,0.8296875,63.77734639798291
8,1.0000000000000002e-06,0.2263484662519647,0.947950487012987,0.6197896768649419,0.8140625,63.517641794867814
9,1.0000000000000002e-06,0.2233193005511771,0.9505546536796536,0.6219692200422287,0.8223958333333333,63.69896049704403
10,1.0000000000000002e-06,0.21759506248873034,0.953125,0.6204038699467976,0.81875,63.77119202003814
