game_num,game,image_name,fen,view,label_source,ply
8,game8,c06/game8/images/frame_010200.jpg,5rk1/ppp3p1/7p/4p1r1/2Pn4/P2P4/1B3P2/R3RK2,white,manual,48
8,game8,c06/game8/images/frame_014780.jpg,4r1k1/pp4p1/7p/2p5/2P5/P1BP3r/4KP2/5R2,white,manual,64
8,game8,c06/game8/images/frame_023828.jpg,8/p5pk/8/1Kp4p/2P2r2/8/8/6B1,white,manual,96
9,game9,c06/game9/images/frame_007112.jpg,r3kb1r/ppp2ppp/2n5/4P3/2B1n1b1/5N2/PP3PPP/R1BNK2R,white,manual,16
9,game9,c06/game9/images/frame_015608.jpg,2k2r2/ppp3pp/2b2p2/2b1P3/5B2/2P2N2/P4PPP/3R2K1,white,manual,32
9,game9,c06/game9/images/frame_021404.jpg,2kr4/ppp3pp/2b1Pp2/b7/2P2B2/5N2/P3RPPP/6K1,white,manual,40
10,game10,c06/game10/images/frame_011752.jpg,rn1qr1k1/pp3ppp/2pb1p2/3P4/2B5/5Q1P/PPP2PP1/R1B2RK1,white,manual,21
10,game10,c06/game10/images/frame_030596.jpg,2r1r1k1/2q2p1p/2Pb1pp1/1p6/8/3P1Q1P/1P3PP1/R1B2RK1,white,manual,40
11,game11,c17/game11/images/frame_013080.jpg,r1bqkb1r/ppp2ppp/5n2/n2Pp1N1/2B5/8/PPPP1PPP/RNBQK2R,white,manual,10
11,game11,c17/game11/images/frame_017148.jpg,2k5/ppp3p1/2n1qnNp/2b1p3/3r4/2NPBQ2/PPP2PPP/R3R1K1,white,manual,31
