epoch,phase,lr,train_loss,train_acc,synth_val_loss,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,real_val_acc_wP,real_val_acc_wR,real_val_acc_wN,real_val_acc_wB,real_val_acc_wQ,real_val_acc_wK,real_val_acc_bP,real_val_acc_bR,real_val_acc_bN,real_val_acc_bB,real_val_acc_bQ,real_val_acc_bK,real_val_acc_empty
1,A,0.001,1.872021335363388,0.6317708333333333,0.23159396980761313,0.9376531862745098,1.636695681918751,0.6607954545454545,106.49077102309093,0.4641025641025641,0.3548387096774194,0.0,0.24545454545454545,0.2,0.0,0.5670103092783505,0.41818181818181815,0.012195121951219513,0.050505050505050504,0.7090909090909091,0.0,0.9059609455292909
2,A,0.001,1.2960971653461457,0.7276041666666667,0.3455233283803549,0.8884803921568627,1.4720104520971125,0.6926136363636364,106.04885368887335,0.5974358974358974,0.3978494623655914,0.0,0.32727272727272727,0.10909090909090909,0.0,0.42783505154639173,0.6272727272727273,0.07317073170731707,0.050505050505050504,0.6727272727272727,0.0,0.9470709146968139
3,A,0.001,1.1946891844272614,0.734375,0.2638923573715527,0.9168198529411765,1.326273793523962,0.6860795454545454,106.55789900012314,0.6128205128205129,0.44086021505376344,0.0,0.36363636363636365,0.09090909090909091,0.0,0.615979381443299,0.5363636363636364,0.06097560975609756,0.050505050505050504,0.6181818181818182,0.0,0.8982528263103803
4,A,0.001,1.020222783088684,0.7598958333333333,0.3003555326387773,0.8967524509803921,1.214088359746066,0.7105113636363637,105.85374239995144,0.6666666666666666,0.4731182795698925,0.0,0.36363636363636365,0.09090909090909091,0.0,0.5541237113402062,0.5545454545454546,0.04878048780487805,0.06060606060606061,0.7272727272727273,0.0,0.9383350462487153
5,A,0.001,0.9516147494316101,0.75625,0.32753541489783067,0.8836805555555556,1.161927912452004,0.721875,106.76419918006286,0.7256410256410256,0.5053763440860215,0.0,0.3090909090909091,0.12727272727272726,0.0,0.5335051546391752,0.6363636363636364,0.06097560975609756,0.10101010101010101,0.7090909090909091,0.0,0.9450154162384378
6,B,0.0001,0.8391520500183105,0.7776041666666667,0.3094063030762805,0.8933823529411765,1.0605143893848765,0.7346590909090909,106.37063290504739,0.7025641025641025,0.5913978494623656,0.0,0.3,0.09090909090909091,0.0,0.6314432989690721,0.6454545454545455,0.04878048780487805,0.13131313131313133,0.7272727272727273,0.0,0.9486125385405961
7,B,0.0001,0.692173253496488,0.8135416666666667,0.2807270000061763,0.9055351307189542,1.0001172943548722,0.7372159090909091,105.27695464598946,0.7205128205128205,0.6344086021505376,0.0,0.3181818181818182,0.05454545454545454,0.01818181818181818,0.6185567010309279,0.6545454545454545,0.0975609756097561,0.12121212121212122,0.7272727272727273,0.0,0.947584789311408
8,B,0.0001,0.6254728004336357,0.8244791666666667,0.29590704270145474,0.9031862745098039,0.9398518827828494,0.7542613636363636,105.75351463002153,0.7410256410256411,0.6559139784946236,0.0,0.37272727272727274,0.05454545454545454,0.01818181818181818,0.654639175257732,0.7090909090909091,0.12195121951219512,0.16161616161616163,0.7090909090909091,0.0,0.9573484069886947
9,B,0.0001,0.5218818068504334,0.846875,0.27164276527374787,0.9136029411764706,0.9101974151351235,0.75625,106.01406550384127,0.7564102564102564,0.6881720430107527,0.012195121951219513,0.37272727272727274,0.07272727272727272,0.03636363636363636,0.6675257731958762,0.6636363636363637,0.21951219512195122,0.20202020202020202,0.7090909090909091,0.0,0.9486125385405961
10,B,0.0001,0.4832413509488106,0.8645833333333334,0.2797305492769464,0.9107945261437909,0.8874464506452734,0.765625,105.6684076259844,0.7564102564102564,0.7204301075268817,0.0,0.42727272727272725,0.16363636363636364,0.03636363636363636,0.6262886597938144,0.6363636363636364,0.2073170731707317,0.2222222222222222,0.7090909090909091,0.0,0.9681397738951696
