epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game7_acc_wP,game7_acc_wR,game7_acc_wN,game7_acc_wB,game7_acc_wQ,game7_acc_wK,game7_acc_bP,game7_acc_bR,game7_acc_bN,game7_acc_bB,game7_acc_bQ,game7_acc_bK,game7_acc_empty
1,A,0.0001,0.6226859931918585,0.8102577459684726,0.8668300653594772,0.867888458401305,1.4329413392327048,0.5346590909090909,1439.0224604005925,0.30512820512820515,0.0,0.13414634146341464,0.07272727272727272,0.0,0.0,0.32989690721649484,0.45454545454545453,0.04878048780487805,0.04040404040404041,0.07272727272727272,0.09090909090909091,0.7959917780061665
2,B,9.728616793536588e-06,0.04283469875388727,0.9871523373799601,0.9986213235294118,0.9980118270799347,1.1091955054890026,0.7127840909090909,1792.2214659359306,0.6717948717948717,0.03225806451612903,0.06097560975609756,0.19090909090909092,0.0,0.0,0.45618556701030927,0.8454545454545455,0.34146341463414637,0.020202020202020204,0.03636363636363636,0.0,0.9845837615621789
3,B,8.9471999940354e-06,0.006230614391060865,0.9980125475629643,0.9986213235294118,0.9984451468189234,1.0665598771788858,0.7505681818181819,1795.6101668621413,0.6615384615384615,0.010752688172043012,0.024390243902439025,0.509090909090909,0.01818181818181818,0.03636363636363636,0.7190721649484536,0.8636363636363636,0.12195121951219512,0.0707070707070707,0.12727272727272726,0.0,0.9886947584789312
4,B,7.75e-06,0.003185717665080651,0.9990260916832759,0.9997446895424836,0.9996176590538336,1.0822232983329079,0.7511363636363636,1795.0457886890508,0.7948717948717948,0.021505376344086023,0.024390243902439025,0.44545454545454544,0.05454545454545454,0.01818181818181818,0.6649484536082474,0.9272727272727272,0.12195121951219512,0.0,0.21818181818181817,0.0,0.973792394655704
5,B,6.281416799501188e-06,0.0020550918198707375,0.9994309431056351,0.9997446895424836,0.999719616639478,1.195416685667905,0.7366477272727273,1795.3509792000987,0.6923076923076923,0.010752688172043012,0.012195121951219513,0.5545454545454546,0.03636363636363636,0.0,0.5231958762886598,0.8909090909090909,0.13414634146341464,0.030303030303030304,0.43636363636363634,0.0,0.986125385405961
6,B,4.7185832004988135e-06,0.001362292024392808,0.9995894863199855,0.9997446895424836,0.9998215742251223,1.1971533710306341,0.7352272727272727,1795.5405394341797,0.7307692307692307,0.010752688172043012,0.036585365853658534,0.2909090909090909,0.01818181818181818,0.09090909090909091,0.5567010309278351,0.8818181818181818,0.1951219512195122,0.0,0.45454545454545453,0.0,0.9799588900308325
7,B,3.250000000000001e-06,0.0008810154550166759,0.9997197182460591,0.9997957516339869,0.9998470636215334,1.2160248366269197,0.74375,1794.3983389567584,0.8205128205128205,0.010752688172043012,0.024390243902439025,0.5272727272727272,0.01818181818181818,0.03636363636363636,0.4948453608247423,0.7363636363636363,0.0975609756097561,0.010101010101010102,0.6727272727272727,0.0,0.9840698869475848
8,B,2.0528000059645994e-06,0.0006017446059348091,0.9998216388838558,0.9997446895424836,0.9997705954323002,1.2216179836880077,0.7431818181818182,1794.7905095326714,0.7974358974358975,0.021505376344086023,0.024390243902439025,0.42727272727272725,0.01818181818181818,0.05454545454545454,0.5283505154639175,0.9090909090909091,0.13414634146341464,0.010101010101010102,0.4909090909090909,0.0,0.9794450154162384
9,B,1.2713832064634127e-06,0.00035858082652758514,0.9998952482333756,0.9997957516339869,0.9998470636215334,1.2316422375765714,0.7363636363636363,1793.851808449719,0.6717948717948717,0.010752688172043012,0.024390243902439025,0.43636363636363634,0.01818181818181818,0.05454545454545454,0.5541237113402062,0.9090909090909091,0.14634146341463414,0.010101010101010102,0.45454545454545453,0.0,0.987667009249743
10,B,1.0000000000000002e-06,0.00045807778050598025,0.9998697680739265,0.9996936274509803,0.9997451060358891,1.215276020223444,0.7414772727272727,1793.6143999272026,0.7205128205128205,0.021505376344086023,0.024390243902439025,0.3090909090909091,0.01818181818181818,0.03636363636363636,0.6108247422680413,0.9090909090909091,0.14634146341463414,0.010101010101010102,0.41818181818181815,0.0,0.9840698869475848
